# CONSTRAINT:  where (pl_pnum >= 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  ),,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_hostname:    Host Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_letter:      Planet Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_discmethod:  Discovery Method,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmax:     Semi-Major Axis [AU],,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbeccen:    Eccentricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbincl:     Inclination [deg],,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_massj:       Planet Mass [Jupiter],,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_msinij:      Planet M*sin(i) [Jupiter],,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_radj:        Planet Radius [Jupiter],,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_dens:        Planet Density [g/cm**3],,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_ttvflag:     TTV Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_kepflag:     Kepler Field Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_dist:        Distance [parsec],,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_logg:        Surface Gravity [log(g)],,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_lum:         Luminosity [log(Lsolar)],,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN st_colorn:      # Colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_tranflag:    Planet Transit Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_rvflag:      Planet RV Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_imgflag:     Planet Imaging Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_astflag:     Planet Astrometry Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbtper:     Time of Periastron [days],,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orblper:     Longitude of Periastron [deg],,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_eqt:         Equilibrium Temperature [K],,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_masse:       Planet Mass [Earth],,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_msinie:      Planet M*sin(i) [Earth],,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_rade:        Planet Radius [Earth],,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_rads:        Planet Radius [Solar],,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_disc:        Year of Discovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_status:      Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# COLUMN pl_mnum:        Number of Moons in System,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
planetName,hostName,planetLetter,discoverMethod,orbitPeriod[day],semi-MajorAxis[AU],Eccentricity,inclination[deg],Mass[Jupiter],M*sin(i)[Jupiter],Radius[Jupiter],pl_ttvflag,pl_kepflag,pl_tranflag,pl_rvflag,pl_imgflag,pl_astflag,pl_orbtper,pl_orblper,pl_eqt,pl_masse,pl_msinie,pl_rade,pl_rads,pl_disc,pl_status,pl_mnum,pl_pelink,pl_edelink
55 Cnc b,55 Cnc,b,Radial Velocity,14.651,0.1134,0.004,,,0.8,,0,0,0,1,0,0,2453035,110,,,254.25,,,1996,3,0,http://exoplanet.eu/catalog/55_cnc_b/,http://exoplanets.org/detail/55_Cnc_b
55 Cnc c,55 Cnc,c,Radial Velocity,44.38,0.237,0.07,,,0.165,,0,0,0,1,0,0,2453083,356,,,52.44,,,2004,3,0,http://exoplanet.eu/catalog/55_cnc_c/,http://exoplanets.org/detail/55_Cnc_c
55 Cnc d,55 Cnc,d,Radial Velocity,4909,5.47,0.02,,,3.53,,0,0,0,1,0,0,2453490,254,,,1121.89,,,2002,3,0,http://exoplanet.eu/catalog/55_cnc_d/,http://exoplanets.org/detail/55_Cnc_d
55 Cnc e,55 Cnc,e,Radial Velocity,0.736546,0.01583,0,82.5,0.026,,0.194,0,0,1,1,0,0,,90,,8.37,,2.173,0.02,2011,3,0,http://exoplanet.eu/catalog/55_cnc_e/,http://exoplanets.org/detail/55_Cnc_e
55 Cnc f,55 Cnc,f,Radial Velocity,261.2,0.77,0.32,,,0.172,,0,0,0,1,0,0,2451878,139,,,54.664,,,2007,3,0,http://exoplanet.eu/catalog/55_cnc_f/,http://exoplanets.org/detail/55_Cnc_f
upsilon And b,upsilon And,b,Radial Velocity,4.617033,0.059222,0.0215,,,0.6876,,0,0,0,1,0,0,2450005.368,324.9,,,218.531,,,1996,3,0,http://exoplanet.eu/catalog/ups_and_b/,http://exoplanets.org/detail/upsilon_And_b
upsilon And c,upsilon And,c,Radial Velocity,241.258,0.827774,0.2596,,,1.981,,0,0,0,1,0,0,2450157.78,241.7,,,629.595,,,1999,3,0,http://exoplanet.eu/catalog/ups_and_c/,http://exoplanets.org/detail/upsilon_And_c
upsilon And d,upsilon And,d,Radial Velocity,1276.46,2.51329,0.2987,,,4.132,,0,0,0,1,0,0,2451347.48,258.82,,,1313.22,,,1999,3,0,http://exoplanet.eu/catalog/ups_and_d/,http://exoplanets.org/detail/upsilon_And_d
upsilon And e,upsilon And,e,Radial Velocity,3848.86,5.24558,0.00536,,,1.059,,0,0,0,1,0,0,2449535.95,7.3,,,336.568,,,2010,3,0,http://exoplanet.eu/catalog/ups_and_e/,
GJ 581 b,GJ 581,b,Radial Velocity,5.36874,0.04,0,,,0.049,,0,0,0,1,0,0,2454712.62,0,,,15.65,,,2005,3,0,http://exoplanet.eu/catalog/gl_581_b/,http://exoplanets.org/detail/GJ_581_b
GJ 581 c,GJ 581,c,Radial Velocity,12.9292,0.07,0.17,,,0.017,,0,0,0,1,0,0,2454699.42,-110,,,5.36,,,2005,3,0,http://exoplanet.eu/catalog/gl_581_c/,http://exoplanets.org/detail/GJ_581_c
GJ 581 d,GJ 581,d,Radial Velocity,66.8,0.22,0.38,,,0.022,,0,0,0,1,0,0,2454603,-33,,,7.09,,,2005,3,0,http://exoplanet.eu/catalog/gl_581_d/,http://exoplanets.org/detail/GJ_581_d
GJ 581 e,GJ 581,e,Radial Velocity,3.14942,0.03,0,,,0.006,,0,0,0,1,0,0,2454716.8,0,,,1.94,,,2005,3,0,http://voparis-exoplanet-new.obspm.fr/catalog/gl_581_e/,http://exoplanets.org/detail/GJ_581_e
GJ 667C b,GJ 667C,b,Radial Velocity,7.2004,0.0505,0.13,,,0.018,,0,0,0,1,0,0,,5.7,,,5.6,,,2011,3,0,http://exoplanet.eu/catalog/gj_667c_b/,http://exoplanets.org/detail/GJ_667_C_b
GJ 667C c,GJ 667C,c,Radial Velocity,28.14,0.125,0.02,,,0.012,,0,0,0,1,0,0,,292.2,,,3.8,,,2011,3,0,http://exoplanet.eu/catalog/gj_667c_c/,http://exoplanets.org/detail/GJ_667_C_c
GJ 667C d,GJ 667C,d,Radial Velocity,91.61,0.276,0.03,,,0.016,,0,0,0,1,0,0,,40.11,,,5.1,,,2013,3,0,http://exoplanet.eu/catalog/gj_667c_d/,
